"","effect_sizes","power","omega2","power_uncorrected","runtime"
"1",-0.7,9994,0.205537885036152,9997,7.60655007892185
"2",-0.69,9988,0.200725700829722,9995,7.60655007892185
"3",-0.68,9992,0.195925369904114,9997,7.60655007892185
"4",-0.67,9994,0.191138377248425,9998,7.60655007892185
"5",-0.66,9983,0.186366236586766,9993,7.60655007892185
"6",-0.65,9974,0.181610489892885,9987,7.60655007892185
"7",-0.64,9968,0.176872706849239,9991,7.60655007892185
"8",-0.63,9971,0.172154484249217,9993,7.60655007892185
"9",-0.62,9960,0.167457445341276,9983,7.60655007892185
"10",-0.61,9944,0.162783239113864,9979,7.60655007892185
"11",-0.6,9937,0.158133539520079,9970,7.60655007892185
"12",-0.59,9930,0.153510044641154,9970,7.60655007892185
"13",-0.58,9897,0.148914475787928,9949,7.60655007892185
"14",-0.57,9890,0.144348576539639,9948,7.60655007892185
"15",-0.56,9881,0.139814111719459,9948,7.60655007892185
"16",-0.55,9829,0.135312866306385,9929,7.60655007892185
"17",-0.54,9740,0.130846644283191,9862,7.60655007892185
"18",-0.53,9757,0.12641726742037,9880,7.60655007892185
"19",-0.52,9675,0.122026573996104,9833,7.60655007892185
"20",-0.51,9609,0.117676417452511,9801,7.60655007892185
"21",-0.5,9541,0.113368664988599,9767,7.60655007892185
"22",-0.49,9490,0.109105196090513,9723,7.60655007892185
"23",-0.48,9403,0.104887900999909,9659,7.60655007892185
"24",-0.47,9292,0.100718679121446,9592,7.60655007892185
"25",-0.46,9170,0.0965994373706178,9534,7.60655007892185
"26",-0.45,9035,0.0925320884633542,9416,7.60655007892185
"27",-0.44,8909,0.0885185491490366,9374,7.60655007892185
"28",-0.43,8745,0.084560738388793,9256,7.60655007892185
"29",-0.42,8551,0.0806605754811607,9139,7.60655007892185
"30",-0.41,8419,0.0768199781374282,9011,7.60655007892185
"31",-0.4,8230,0.0730408605091933,8890,7.60655007892185
"32",-0.39,8103,0.0693251311708974,8800,7.60655007892185
"33",-0.38,7759,0.0656746910603211,8507,7.60655007892185
"34",-0.37,7570,0.0620914313802439,8337,7.60655007892185
"35",-0.36,7275,0.0585772314646904,8138,7.60655007892185
"36",-0.35,7026,0.0551339566133958,7982,7.60655007892185
"37",-0.34,6693,0.0517634558983296,7673,7.60655007892185
"38",-0.33,6403,0.048467559946317,7469,7.60655007892185
"39",-0.32,6082,0.0452480787019875,7178,7.60655007892185
"40",-0.31,5752,0.0421067991754598,6839,7.60655007892185
"41",-0.3,5428,0.0390454831793455,6600,7.60655007892185
"42",-0.29,5213,0.0360658650598112,6396,7.60655007892185
"43",-0.28,4878,0.0331696494265829,6032,7.60655007892185
"44",-0.27,4582,0.0303585088869101,5705,7.60655007892185
"45",-0.26,4211,0.0276340817886217,5405,7.60655007892185
"46",-0.25,3951,0.0249979699775042,5053,7.60655007892185
"47",-0.24,3644,0.0224517365743184,4733,7.60655007892185
"48",-0.23,3365,0.0199969037768293,4403,7.60655007892185
"49",-0.22,3040,0.0176349506922753,4141,7.60655007892185
"50",-0.21,2797,0.0153673112057206,3834,7.60655007892185
"51",-0.2,2496,0.013195371889746,3536,7.60655007892185
"52",-0.19,2199,0.0111204699609105,3167,7.60655007892185
"53",-0.18,2079,0.00914389128838346,2980,7.60655007892185
"54",-0.17,1776,0.00726686846008251,2633,7.60655007892185
"55",-0.16,1596,0.00549057891157339,2404,7.60655007892185
"56",-0.15,1411,0.00381614312288259,2187,7.60655007892185
"57",-0.14,1288,0.0022446228882476,2002,7.60655007892185
"58",-0.13,1166,0.000777019663681546,1804,7.60655007892185
"59",-0.12,982,0,1586,7.60655007892185
"60",-0.11,824,0,1415,7.60655007892185
"61",-0.1,736,0,1244,7.60655007892185
